"AlignmentID","t.stat","p.value","#NAME?","FDR","Metabolite_name","Adduct type"
4773,3.014,0.013028,1.8851,0.94462,"w/o MS2:6b-Hydroxy-3,14b,14c-trimethyl-5-oxo-2,3,4,5,6b,7,8,8a,9,14,14b,14c,15,16-tetradecahydro-4,16a-epoxy[1]benzoxocino[7',8':6,7]indeno[1,2-b]indol-3-yl 2-hydroxy-2-methylpropanoate","[M+Na-2H]-"
4774,3.014,0.013028,1.8851,0.94462,"w/o MS2:6b-Hydroxy-3,14b,14c-trimethyl-5-oxo-2,3,4,5,6b,7,8,8a,9,14,14b,14c,15,16-tetradecahydro-4,16a-epoxy[1]benzoxocino[7',8':6,7]indeno[1,2-b]indol-3-yl 2-hydroxy-2-methylpropanoate","[M-H]-"
2775,3.0049,0.013232,1.8784,0.94462,"w/o MS2:17,20-Dimethylprostaglandin F1.alpha.","[M-H]-"
3921,-2.9965,0.013423,1.8721,0.94462,"w/o MS2:(5.beta.,8.alpha.,9.beta.,10.alpha.,13.alpha.,16.beta.)-16-Hydroxy-17-((3-methylbutanoyl)oxy)kauran-18-oic acid","[M-H]-"
3922,-2.9965,0.013423,1.8721,0.94462,"w/o MS2:(5.beta.,8.alpha.,9.beta.,10.alpha.,13.alpha.,16.beta.)-16-Hydroxy-17-((3-methylbutanoyl)oxy)kauran-18-oic acid","[M-H]-"
5633,2.9878,0.013626,1.8656,0.94462,"w/o MS2:8-(3-Octyl-2-oxiranyl)octanoic acid","[M-H]-"
317,2.9554,0.014401,1.8416,0.94462,"w/o MS2:L-ASPARAGINE","[M-H]-"
334,-2.9405,0.014772,1.8305,0.94462,"w/o MS2:Acetylaniline","[M-H]-"
2495,2.9382,0.014831,1.8288,0.94462,"w/o MS2:(4,7,7-trimethyl-3-bicyclo[2.2.1]heptanyl) (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate","[M-H]-"
1200,-2.9241,0.015193,1.8184,0.94462,"w/o MS2:Flufenacet OXA; LC-ESI-ITFT; MS2; CE","[M-H]-"
4461,2.897,0.015916,1.7982,0.94462,"w/o MS2:(2,4,5-Trichlorophenoxy)acetic acid","[M-H]-"
5623,2.8901,0.016104,1.7931,0.94462,"w/o MS2:8-(3-Octyl-2-oxiranyl)octanoic acid","[M-H]-"
3318,2.8874,0.016178,1.7911,0.94462,"w/o MS2:D-myo-Inositol-1,3,4-triphosphate","[M-H]-"
1640,-2.8816,0.016342,1.7867,0.94462,"w/o MS2:4-Oxo-4-[3-(trifluoromethyl)anilino]butanoic acid","[M+Cl]-"
5630,2.8742,0.01655,1.7812,0.94462,"w/o MS2:8-(3-Octyl-2-oxiranyl)octanoic acid","[M-H]-"
1402,-2.8687,0.016706,1.7771,0.94462,"w/o MS2:4-(Thiophen-2-yl)-6-(trifluoromethyl)pyrimidin-2-ol","[M-H]-"
1716,2.8332,0.017755,1.7507,0.94462,"w/o MS2:2-Phosphono-1,2,4-butanetricarboxylic acid","[M-H]-"
2510,-2.8256,0.017988,1.745,0.94462,"w/o MS2:PFSA-H; C5H2F10O3S","[M+Cl]-"
1567,2.8249,0.018008,1.7445,0.94462,"w/o MS2:7-Bromo-5-chloroquinolin-8-ol","[M-H]-"
2773,2.809,0.018508,1.7326,0.94462,"w/o MS2:17,20-Dimethylprostaglandin F1.alpha.","[M-H]-"
1201,-2.7908,0.019095,1.7191,0.94462,"w/o MS2:Flufenacet OXA; LC-ESI-ITFT; MS2; CE","[M+Na-2H]-"
2223,2.783,0.019351,1.7133,0.94462,"w/o MS2:FA 18:1+1O; PlaSMA ID-584","[M-H]-"
333,-2.7703,0.019776,1.7039,0.94462,"w/o MS2:Acetylaniline","[M-H]-"
1584,2.7289,0.021232,1.673,0.94462,"w/o MS2:N-(4-Methylphenyl)-N'-(6-methyl-2-pyridinyl)thiourea","[M-H]-"
6827,-2.6639,0.023742,1.6245,0.94462,"w/o MS2:cholic acid","[M-H]-"
6825,-2.6619,0.023823,1.623,0.94462,"w/o MS2:Phosphatidylserine 18","[M-H]-"
2689,2.6227,0.02548,1.5938,0.94462,"w/o MS2:Tricosanoic acid","[M-H]-"
176,-2.5868,0.027101,1.567,0.94462,"w/o MS2:Trifluoroacetic acid","[M-H]-"
6824,-2.5794,0.027443,1.5616,0.94462,"w/o MS2:Phosphatidylserine 18","[M-H]-"
1303,-2.5615,0.028299,1.5482,0.94462,"w/o MS2:1-(3-Fluoro-4-methylphenyl)-5-oxo-3-pyrrolidinecarboxylic acid","[M-H]-"
1813,-2.5425,0.029238,1.5341,0.94462,"w/o MS2:N-(4-Fluorobenzyl)-7H-purin-6-amine","[M+Cl]-"
2516,2.5421,0.02926,1.5337,0.94462,"w/o MS2:NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-","[M-H]-"
5626,2.5069,0.031079,1.5075,0.94462,"w/o MS2:8-(3-Octyl-2-oxiranyl)octanoic acid","[M+Na-2H]-"
6898,-2.4848,0.032276,1.4911,0.94462,"w/o MS2:Phosphatidylcholine 17","[M-H]-"
1364,-2.4826,0.032399,1.4895,0.94462,"w/o MS2:4-Oxo-4-[3-(trifluoromethyl)anilino]butanoic acid","[M-H]-"
4123,-2.4699,0.033108,1.4801,0.94462,"w/o MS2:(2,4-Dinitrophenoxy)acetic acid","[M-H]-"
1458,-2.4684,0.033195,1.4789,0.94462,"w/o MS2:5-Chloro-1-(4-piperidinyl)-1,3-dihydro-2H-benzimidazol-2-one","[M-H]-"
2231,2.4548,0.033978,1.4688,0.94462,"w/o MS2:Ricinoleic acid","[M-H]-"
3246,2.4522,0.03413,1.4669,0.94462,"w/o MS2:4-Amino-2-(trifluoromethyl)pyrimidine-5-carboxylic acid","[M+K-2H]-"
2129,2.4476,0.034399,1.4635,0.94462,"w/o MS2:4-Guanidinobutyric acid","[M-H]-"
6475,2.4475,0.034403,1.4634,0.94462,"w/o MS2:PFSA-ether; C12HF25O5S","[M-H]-"
2515,2.4307,0.035405,1.4509,0.94462,"w/o MS2:NCGC00380217-01_C20H28O4_4a(2H)-Phenanthrenecarboxylic acid, 7-ethenyl-1,3,4,4b,5,6,7,9,10,10a-decahydro-4b-hydroxy-1,1,7-trimethyl-9-oxo-","[M-H]-"
2200,2.4266,0.035655,1.4479,0.94462,"w/o MS2:Unknown (carbon number 16); PlaSMA ID-576","[M-H]-"
2795,-2.4263,0.035674,1.4476,0.94462,"w/o MS2:Lignoceric acid","[M-H]-"
3339,2.425,0.035753,1.4467,0.94462,"w/o MS2:Kuwanon C","[M-H]-"
4012,2.4242,0.035802,1.4461,0.94462,"w/o MS2:NCGC00091914-04!(2R,3R)-2,3-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]butanedioic acid","[M-H]-"
3230,2.4083,0.036792,1.4342,0.94462,"w/o MS2:5-[(Z)-14-(3,5-dihydroxyphenyl)tetradec-8-enyl]benzene-1,3-diol","[M-H]-"
1647,2.4054,0.036971,1.4321,0.94462,"w/o MS2:9-(2,3-dihydroxypropoxy)-9-oxononanoic acid","[M-H]-"
4870,2.3969,0.037511,1.4258,0.94462,"w/o MS2:FT-sulfonic_acid; C10H5F17O4S","[M+K-2H]-"
1794,-2.3888,0.038034,1.4198,0.94462,"w/o MS2:PFAP-FT_PAP; C5H6F7O3P","[M-H2O-H]-"
2776,2.3778,0.038759,1.4116,0.94462,"w/o MS2:NCGC00386000-01!3-pentadecylbenzene-1,2-diol","[M-H]-"
1929,-2.3744,0.038985,1.4091,0.94462,"w/o MS2:NCGC00170013-03_C15H22O5_1H-3,9a-Methanocyclopent[c]oxocin-4-carboxylic acid, 3,4,5,6,6a,9-hexahydro-4-hydroxy-7-(1-hydroxy-1-methylethyl)-","[M-H]-"
509,-2.365,0.039615,1.4021,0.94462,"w/o MS2:Unknown (carbon number 7); PlaSMA ID-114","[M-H]-"
6699,-2.3557,0.040245,1.3953,0.94462,"w/o MS2:PFSM-amine; C17H13F25N2O2S","[M-H]-"
744,2.3553,0.040276,1.395,0.94462,"w/o MS2:6-Chloro-1H-indazole-3-carbonitrile","[M+Cl]-"
1395,-2.3435,0.04109,1.3863,0.94462,"w/o MS2:N-(4-Chlorophenyl)-7H-purin-6-amine","[M-H]-"
1882,-2.3381,0.041471,1.3823,0.94462,"w/o MS2:Albendazole sulfoxide","[M+K-2H]-"
1639,-2.3359,0.041629,1.3806,0.94462,"w/o MS2:4-Oxo-4-[3-(trifluoromethyl)anilino]butanoic acid","[M+K-2H]-"
2393,-2.3339,0.041774,1.3791,0.94462,"w/o MS2:3-(4-Bromophenyl)-7-hydroxy-4H-chromen-4-one","[M+Cl]-"
1649,-2.3242,0.04247,1.3719,0.94462,"w/o MS2:N-(2-Phenoxyphenyl)methanesulfonamide","[M+K-2H]-"
1100,-2.3236,0.042513,1.3715,0.94462,"w/o MS2:Tridecanoic acid","[M-H]-"
5478,2.3232,0.042542,1.3712,0.94462,"w/o MS2:Bilirubin","[M-H]-"
3113,-2.3162,0.043053,1.366,0.94462,"w/o MS2:Bumetanide","[M+Cl]-"
2587,-2.3139,0.043218,1.3643,0.94462,"w/o MS2:Behenic acid","[M-H]-"
5004,2.3037,0.043974,1.3568,0.94462,"w/o MS2:2,3,4-Trihydroxybenzaldehyde (4-chlorophenyl)hydrazone","[M+Cl]-"
6630,2.2936,0.044735,1.3494,0.94462,"w/o MS2:Cauloside C (3-Glu(1-2)Ara Hederagenin) (NMR)","[M-H]-"
5972,-2.2874,0.04521,1.3448,0.94462,"w/o MS2:Hexosyl LPE 18:2; PlaSMA ID-1765","[M-H]-"
3879,2.2866,0.045275,1.3441,0.94462,"w/o MS2:FT-sulfonic_acid; C8H3F15O3S","[M-H]-"
7228,2.2702,0.046552,1.3321,0.94462,"w/o MS2:Navitoclax","[M-2H]2-"
12,2.264,0.047047,1.3275,0.94462,"w/o MS2:GLYCINE","[M-H2O-H]-"
232,2.2567,0.047633,1.3221,0.94462,"w/o MS2:Homoserine","[M+Na-2H]-"
459,2.249,0.04826,1.3164,0.94462,"Glutamine (D)","[M-H]-"
4464,-2.2449,0.048596,1.3134,0.94462,"w/o MS2:5-[(2,4-Difluorophenoxy)methyl]furan-2-carboxylic acid","[M-H]-"
1006,2.2403,0.048982,1.31,0.94462,"TRYPTOPHAN","[M-H]-"
